imie;nazwisko;wiek
Karina;Kornek;27
Fryderyk;Piwowarek;36
Cezary;Iskierka;43
Józef;Potoczek;47
Mieszko;Tolak;49
Daniel;Pyrkosz;38
Kaja;Krzysiek;27
Norbert;Pyś;20
Konstanty;Pazera;34
Konstanty;Roda;27
Justyna;Kominiak;35
Rafał;Myszak;47
Artur;Kotala;24
Gabriel;Raszkiewicz;32
Gaja;Dynak;50
Sylwia;Bieszke;32
Anastazja;Batóg;33
Bianka;Tyczka;34
Marika;Płócienniczak;30
Tadeusz;Leżoń;40
Kalina;Mirocha;22
Eryk;Oleśkiewicz;22
Piotr;Cięciwa;40
Ida;Wyroba;27
Sonia;Damian;37
Urszula;Nagel;41
Olgierd;Kandora;30
Melania;Zięciak;26
Igor;Kretowicz;32
Ernest;Kieca;31
Gustaw;Rurka;35
Arkadiusz;Słysz;37
Konrad;Błażejczak;48
Ernest;Plak;29
Jakub;Gałęza;46
Apolonia;Romaniak;21
Norbert;Wiech;33
Kamil;Gałat;28
Ernest;Rogacz;50
Kalina;Drewnik;23
Radosław;Krajniak;45
Tola;Jaremko;43
Lidia;Szajner;44
Kalina;Łachut;20
Filip;Oleksak;40
Patryk;Fiedoruk;44
Tola;Mosiołek;41
Dominik;Jaracz;44
Aleksander;Obiała;37
Monika;Wójcikiewicz;38
Tymoteusz;Gryciuk;27
Tobiasz;Baum;47
Wojciech;Gajdzik;36
Dominik;Roter;26
Melania;Chudoba;23
Monika;Bartoszczyk;36
Klara;Pastor;45
Tomasz;Szajna;35
Karol;Jakóbiak;35
Stanisław;Wiszowaty;33
Krzysztof;Srokosz;35
Igor;Salwin;26
Kamil;Sterna;45
Aurelia;Szemraj;25
Juliusz;Grochola;36
Albert;Mojsa;33
Kacper;Tarach;36
Kornel;Fidura;33
Jan;Królczyk;35
Natan;Kultys;43
Oliwier;Idec;39
Iwo;Owczarczak;50
Wiktor;Handke;30
Radosław;Garczyk;30
Aleks;Pilich;25
Paweł;Westfal;34
Hubert;Machowiak;44
Stefan;Knych;30
Piotr;Osik;34
Jakub;Karczmarz;23
Olga;Prejs;25
Bruno;Nazarko;39
Julianna;Truchan;49
Oliwier;Mrozowicz;45
Michał;Fik;30
Natasza;Grzenia;22
Lidia;Szumiło;25
Maurycy;Jagieło;29
Bruno;Nickel;42
Ryszard;Wojtalewicz;29
Michał;Szałata;43
Urszula;Katana;34
Fabian;Małż;24
Marcelina;Doliwa;35
Adrianna;Olszyna;34
Maciej;Niemira;50
Antoni;Janiuk;38
Bruno;Stypa;28
Damian;Kasperczak;23
Paweł;Kózka;45
Antoni;Grzesiek;47
Filip;Hrabia;39
Marianna;Heleniak;39
Filip;Jachimczyk;48
Ignacy;Malcher;27
Liwia;Lesner;40
Sara;Glazer;39
Ignacy;Kwinta;48
Alan;Suda;38
Agnieszka;Lenc;34
Jeremi;Łachacz;39
Grzegorz;Owczarczak;36
Sonia;Daraż;45
Ryszard;Grygo;45
Radosław;Pelka;31
Kajetan;Pęksa;38
Przemysław;Wasiewicz;39
Dawid;Majdan;29
Adrian;Wojciech;45
Robert;Dulas;26
Dagmara;Hanus;38
Julita;Rzeźniczek;38
Andrzej;Tomalak;31
Krzysztof;Drożdżal;37
Olga;Sykut;45
Dorota;Rezler;45
Maks;Polakiewicz;24
Ksawery;Nowotny;26
Adam;Szymała;43
Róża;Bas;33
Marcelina;Domińczak;29
Kaja;Bystroń;20
Dagmara;Waleczek;44
Adrianna;Gregorczuk;24
Leon;Gajowiak;28
Malwina;Rembacz;48
Adrianna;Strama;49
Aniela;Skrobek;27
Oskar;Nesterowicz;31
Tadeusz;Łaciak;30
Cyprian;Drobisz;35
Julita;Wichary;34
Róża;Muniak;40
Jakub;Tórz;24
Julianna;Majczyna;48
Maria;Sadura;21
Konstanty;Ścibisz;35
Apolonia;Frelich;29
Krzysztof;Daraż;50
Kajetan;Goś;49
Radosław;Samulak;45
Kajetan;Krauza;32
Stanisław;Nastaj;30
Karol;Gryska;31
Krzysztof;Walentynowicz;27
Albert;Morka;24
Arkadiusz;Pacholczak;42
Sara;Kliber;33
Aleksander;Fidler;24
Damian;Spychaj;50
Angelika;Podgórny;40
Janina;Milewczyk;32
Elżbieta;Kosowicz;27
Marianna;Radke;21
Ewa;Pałyga;42
Tomasz;Sławik;25
Justyna;Molga;47
Janina;Maruszczyk;21
Adrian;Barteczko;43
Stanisław;Krüger;33
Marianna;Pela;24
Dominik;Ziajka;31
Tola;Kieloch;21
Damian;Ruchała;43
Konrad;Teper;25
